,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
94,OCCIDENTAL COLLEGE,Yes,2021,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,36.7%,1300-1480,28-32,CA
95,CONNECTICUT COLLEGE,Yes,All / Permanent Policy,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,37.4%,1310-1450,30-33,CT
96,COLLEGE OF WILLIAM AND MARY,Yes,2021 2022 2023,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,37.7%,1320-1510,30-34,
97,MOUNT HOLYOKE COLLEGE,Yes,All / Permanent Policy,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,38.2%,1270-1490,27-32,MA
98,BEREA COLLEGE,Yes,2021,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,38.2%,1030-1213,22-27,KY
99,PRATT INSTITUTE,Yes,2021,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,38.5%,1100-1320,26-30,
100,SOKA UNIVERSITY OF AMERICA,Yes,2021,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,38.8%,1180-1410,27-30,CA
101,CALIFORNIA STATE UNIVERSITY--LOS ANGELES,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,39.0%,890-1080,15-20,
102,CALIFORNIA STATE UNIVERSITY--LONG BEACH,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,39.3%,1040-1250,20-26,
103,REED COLLEGE,Yes (TB),2021 2022,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,39.5%,1325-1520,30-34,OR
104,BINGHAMTON UNIVERSITY—​SUNY,Yes,2021,Binghamton University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,38755,39.8%,1310-1440,28-32,
105,DICKINSON COLLEGE,Yes,All / Permanent Policy,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,40.1%,1240-1410,28-32,PA
106,UNIVERSITY OF TULSA,Yes,2021,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,40.8%,1180-1410,25-32,OK
107,GEORGE WASHINGTON UNIVERSITY,Yes,All / Permanent Policy,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,40.9%,1280-1470,29-33,DC
108,UNIVERSITY OF CALIFORNIA—​DAVIS,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,41.2%,1150-1410,25-31,
109,STEVENS INSTITUTE OF TECHNOLOGY,Yes,2021,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,41.4%,1330-1480,30-33,NJ
110,ST. LAWRENCE UNIVERSITY,Yes,All / Permanent Policy,St. Lawrence offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,6998,42.4%,1160-1350,24-30,
111,UNION COLLEGE (SCHENECTADY NY),Yes,All / Permanent Policy,Union College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.,6086,42.9%,1220-1420,27-32,
112,RENSSELAER POLYTECHNIC INSTITUTE,Yes,2021,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,43.0%,1330-1500,29-33,NY
113,BENTLEY UNIVERSITY,Yes,2021,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,43.2%,1240-1410,28-32,MA
114,CUNY--BARUCH COLLEGE,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,20303,43.4%,1130-1330,--,
115,SPELMAN COLLEGE,Yes,2021,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,43.4%,1080-1230,22-26,GA
116,LOYOLA MARYMOUNT UNIVERSITY,Yes,2021,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,43.8%,1230-1410,27-31,CA
117,UNIVERSITY OF MARYLAND—​COLLEGE PARK,Yes,2021,University of Maryland--College Park has adopted a one-year test optional policy for students applying for the Spring and Fall 2021 semesters.,32987,44.1%,1280-1480,29-33,
118,STONY BROOK UNIVERSITY—​SUNY,Yes,2021,Stony Brook University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,37079,44.1%,1230-1440,26-32,
